id,date,username,badge,stars,model,variation,upvotes,comments,replied,title,url,reply,body
R2YGW0VRO3KOSB,"March 21, 2020",george tahan,Verified Purchase,5,C3224dw,N/A,0,0,No,Great Lexmark printer.,https://www.amazon.com/gp/customer-reviews/R2YGW0VRO3KOSB?ie=UTF8&ASIN=B07T6PGM4J,,"Easy setup using ethernet connection, wireless connection on my laptop has a problem and the ethernet connection was a good solution for now. I had an older model Lexmark printer X4550 still working and very quite operation, every low noise.except ink cartridge holder broke."
R21KMQUUGLH80N,"March 21, 2020",Nickie Donlin,Verified Purchase,5,C3224dw,N/A,0,0,No,Good Printer,https://www.amazon.com/gp/customer-reviews/R21KMQUUGLH80N?ie=UTF8&ASIN=B07T6PGM4J,,"So far, I have no complaints for this printer. I bought it because I don't print all that often and was tired of my cartridges drying up in my inkjet printer. I read some of the reviews about the WiFi issues and took the advice of the ones who made their printer's IP address static. No WiFi issues for me. It prints fast with good quality. Very happy with my purchase."
R2CE2OT3DWUZM6,"March 20, 2020",Chooseup,Verified Purchase,5,C3224dw,N/A,0,0,No,Perfect Home Office Color Laser Printer!,https://www.amazon.com/gp/customer-reviews/R2CE2OT3DWUZM6?ie=UTF8&ASIN=B07T6PGM4J,,"Product received quickly from Amazon. Well packaged. Very easy to set-up and get it on my network. Small footprint and much quieter than my 7 year old HP color laser (and much smaller and lighter). So far, I am very happy with this purchase!"
R3NRYMXAR9G1I9,"March 13, 2020",Rodger M.,Verified Purchase,1,C3224dw,N/A,0,0,No,"BAD PRINTER. ERRORS ALL THE TIME, WE GOT TWO, BOTH HAD THE SAME ISSUE",https://www.amazon.com/gp/customer-reviews/R3NRYMXAR9G1I9?ie=UTF8&ASIN=B07T6PGM4J,,"Can't even get to try out a print.. ""REMOVE CARTRIDGE PACKAGING"" Lexmark failed, the doors don't even close properly."
R12R4GJFF35RYO,"March 13, 2020",Raleigh Araga,Verified Purchase,2,C3224dw,N/A,0,0,No,"Great quality, bad connection problems.",https://www.amazon.com/gp/customer-reviews/R12R4GJFF35RYO?ie=UTF8&ASIN=B07T6PGM4J,,"The printer itself is pretty good. It prints great colored prints, not necessarily top grade for photographers, but sufficient enough for everyday-use colored fliers and portraits. After reading the other reviews, I thought I wouldn't have any issues with connections and that the other buyers complaining of connection issues were isolated incidents; I was wrong. What good is a printer that prints excellent pictures but constantly disconnects from your devices when you need it?! It was constantly offline. I decided to return and go with a more reliable Canon."
R23V3FK5MSBLUV,"March 11, 2020",Luis Proano,Verified Purchase,5,C3224dw,N/A,0,0,No,nbice,https://www.amazon.com/gp/customer-reviews/R23V3FK5MSBLUV?ie=UTF8&ASIN=B07T6PGM4J,,i like
R1K5L8J0WP5ET5,"March 10, 2020",schultz,Verified Purchase,5,C3224dw,N/A,0,0,No,It prints,https://www.amazon.com/gp/customer-reviews/R1K5L8J0WP5ET5?ie=UTF8&ASIN=B07T6PGM4J,,Seems to be working as advertised
R2JVYG5FC41HPF,"March 9, 2020",pandafam,Verified Purchase,1,C3224dw,N/A,1,0,No,NOPE! STILL ON THE HUNT...,https://www.amazon.com/gp/customer-reviews/R2JVYG5FC41HPF?ie=UTF8&ASIN=B07T6PGM4J,,"UPDATE 3.21.20I went to print on the printer for the second time since printing after set up the first day I opened this printer. I saw the same problem as I did with my previous printer. The print quality is splotchy and blurry. Part of the page didn't even print. I tried darkening the toner in the settings - same issue, no difference. I tried doing a test print - even the test print was splotchy and not clear but the very last page said no issues with cartridge. Amazon customer service said try replacing the toner (which would have cost me HUNDREDS of dollars) which was ridiculous. I am still on the hunt for just a decent printer...I am starting to question if there are any good printers out there any more.I tried another brand before this and was an awful experience printing and trying to return it. I researched and decided to go with this laser printer, and at this price point, I am shocked that the print is THIS clean and sharp. The printer is a bit heavy (~30 lbs?) and large. The set up is pretty easy - I did NOT set up through the app, I did it directly on the printer and got a bit frustrated trying to scroll type my way through my wifi password one letter at a time, but was ready to go immediately after I connected. Then I added the printer on the computer and was printing within a minute. I have also added the app on my phone but have yet to try and print off the app.The only thing I am a bit disappointed by is the darkening of colors when I print in color. Beige turns into a greenish brown, the light pink turns into a muted, darker pink. I will be mindful when printing my own creations to pick lighter colors, but am a bit puzzled by this. Not enough to send back because the printer is so quick and sharp, but a bit annoyed my colors on the screen won't come out on the page exactly. I hope this review helps someone."
R8FYQ609BWVY6,"March 6, 2020",Avoid,Verified Purchase,1,C3224dw,N/A,0,0,No,Avoid,https://www.amazon.com/gp/customer-reviews/R8FYQ609BWVY6?ie=UTF8&ASIN=B07T6PGM4J,,Terrible terrible quality. Worst than my bubble jet printer.
R1V04ABSSB750R,"March 5, 2020",Topcop,Verified Purchase,1,C3224dw,N/A,1,0,No,Don’t Buy - WIFI Doesn’t Connect - Be ware!!,https://www.amazon.com/gp/customer-reviews/R1V04ABSSB750R?ie=UTF8&ASIN=B07T6PGM4J,,DO NOT buy this printer! I spent 2 1/2 hours attempting to get it to connect wirelessly. It would work intermittently but would not stay connected and I have outstanding WiFi speed & connection strength.I tried to call customer service and waited 1 hour on hold.If you are an IT guy you MIGHT be able to get this to work but for the average Joe - forget it!
R1FZROXOFH46HK,"February 12, 2020",Pen Name,Verified Purchase,5,C3326dw,N/A,0,0,No,Great item,https://www.amazon.com/gp/customer-reviews/R1FZROXOFH46HK?ie=UTF8&ASIN=B07T3H979V,,"Great item, duplex works great and color quality is great"
R1Q7BO5SP9FHK8,"February 1, 2020",Brad Cosner,Verified Purchase,5,C3326dw,N/A,0,0,No,Good quality,https://www.amazon.com/gp/customer-reviews/R1Q7BO5SP9FHK8?ie=UTF8&ASIN=B07T3H979V,,Got this for Christmas and I love it. Have to be careful using other papers though. I've gotten two paper jams already.
R2ABEEGKUTWBQ3,"February 1, 2020",Kindle Customer,Verified Purchase,5,C3326dw,N/A,1,1,No,Great Compact Color Printer,https://www.amazon.com/gp/customer-reviews/R2ABEEGKUTWBQ3?ie=UTF8&ASIN=B07T3H979V,,"I purchased the Lexmark color laser printer for my classroom. The compact shape and size of the printer is perfect for small spaces. It yields double-sided, crisp, color documents rapidly with no paper jams."
R33H6LH1WPTH38,"January 29, 2020",sri,Verified Purchase,5,C3326dw,N/A,0,0,No,Great value printer,https://www.amazon.com/gp/customer-reviews/R33H6LH1WPTH38?ie=UTF8&ASIN=B07T3H979V,,"Great printer, a bit noisy, but gets the job done quickly"
R2FECNVJWLDZ8N,"January 22, 2020",Kindle Customer,Verified Purchase,2,C3326dw,N/A,1,1,No,Disappointing,https://www.amazon.com/gp/customer-reviews/R2FECNVJWLDZ8N?ie=UTF8&ASIN=B07T3H979V,,It does not print pictures well
R3DNVBSCG3IKVO,"January 13, 2020",ionei,Verified Purchase,4,C3326dw,N/A,0,0,No,"Big, but does the job",https://www.amazon.com/gp/customer-reviews/R3DNVBSCG3IKVO?ie=UTF8&ASIN=B07T3H979V,,"print quality is great, but then again Ive only had it for a month; all my printers did a great job for several months. I'll re-review if a problem comes up.The thing is big and heavy enough I was worried as I set it down on my glass shelf, but it was ok. Set up was relatively easy, connecting the 5 laptops in the family to it took little time (though for some reason one computer came out with weird settings that had to be reset to normal). Prints pretty quickly but with a fair amount of noise compared to my old (inkjet) printer."
RJK6ON53WI7VO,"January 8, 2020",F. Pearl,Verified Purchase,5,C3326dw,N/A,0,0,No,Great printer for professional looking results,https://www.amazon.com/gp/customer-reviews/RJK6ON53WI7VO?ie=UTF8&ASIN=B07T3H979V,,"Excellent printer for value and quality. The starter toner does not last long so consider toner cost when buying the printer. I used it for printing brochures, which looked awesome compared to the inkjet ones."
R2N1H6N470LYGV,"December 24, 2019",miriam garcia,Verified Purchase,5,C3326dw,N/A,0,0,No,works excellent,https://www.amazon.com/gp/customer-reviews/R2N1H6N470LYGV?ie=UTF8&ASIN=B07T3H979V,,Works excellent.
R2CI18JQ4ATMWK,"December 21, 2019",M-I-Wright,Verified Purchase,5,C3326dw,N/A,0,0,No,Best printer for the price that packs a punch!,https://www.amazon.com/gp/customer-reviews/R2CI18JQ4ATMWK?ie=UTF8&ASIN=B07T3H979V,,Best printer for the price that packs a punch!
R27H700NWESK41,"December 16, 2019",Darlene,Verified Purchase,3,C3326dw,N/A,5,0,No,Print quality questionable,https://www.amazon.com/gp/customer-reviews/R27H700NWESK41?ie=UTF8&ASIN=B07T3H979V,,Not sure about this printer yet. Usually an inkjet user but needed a cost friendly laser printer and after research this is the one I choose. Not sure if I’m just used to the color saturation I get with my inkjet or if having trouble correcting print quality. I will search some solutions on the web and update. I really want to like this printer but as of this review I can only give 2 stars.
R1CH777KCGNE16,"March 19, 2020",Junior E.,Verified Purchase,5,MC3224adwe,N/A,0,0,No,Good,https://www.amazon.com/gp/customer-reviews/R1CH777KCGNE16?ie=UTF8&ASIN=B07T4LGDGQ,,Ok
