id,date,username,stars,model,variation,badge,upvotes,comments,title,body,replied,reply,url
RGZ49J58DX0W5,"May 16, 2019",Amazon Customer,3,MB2236adw,,Verified Purchase,57,6,"Great little printer, aside from a few inconvenient oversights"," I expected this printed to work out of the box, but there is one issue that breaks this whole experience. When you connect via WiFi and finish all the setup you are presented with the error “SMTP server not set up. Contact system administrator” and a constant flashing red light on the right side of the printer panel. I did all the connection steps correctly and had to spend some hours trying to research the problem online. After finding no solution in the manuals or online I decided to email Lexmark. It turns out you need to connect to the printer via your web browser to turn off a specific setting so this error goes away. This was quite irritating for me as I wasted almost half a day trying to figure out the problem. The printer works fine without addressing this error but there will be the constant red light flashing and the error on the screen which can be annoying. I think the Lexmark software guys should have had that printer setting activated by default out of the box so customers wouldn’t have to go through these extra steps.The last negative I have found is the power button light. On my unit there is a subtle flicker which you can notice from afar. This is also a little annoying at least for me. I have attached a video of the problem. I’m not sure if all units are like this or just mine.Now to the good things. This printer looks great. I love the aesthetic and someone gave me a compliment for it when they saw it sitting next to my desk. It looks modern and I prefer the white and light tones over dark plastic printers that sometimes look very ugly up in person. The printer is very compact for being a multi-function printer. The print quality is great from what I saw on sheet. When you put paper inside the tray it does extend about an inch from the back of the printer to accommodate the standard letter size so bear that in mind.If Lexmark did not program the printers to show the SMTP error by default and if the power light did not flicker I would have given it a higher score.TIP: to fix the SMTP error you need to press the wrench button on the printer panel > Reports > OK > Network > OK > Network Setup Page > OK. This will print out the printer’s IP address which you will need.On the page that prints out, the IP address will be on the top. Now go to your web browser on your computer that is on the same network as the printer and type that IP address in the address bar and hit enter. The printer’s Embedded Web Server or software should show up. Click on E-mail under Settings and check the box that says ‘Disable “SMTP server not set up” error’. Click the save button. You are set. That pesky error will go away and the dreadful red flashing light too.",Yes,"Hello - We wanted to respond and thank you for your recent comments on the Lexmark MB2236adw. This feedback was very valuable and we wanted to let you know what steps we have taken to correct these issues.Lexmark",https://www.amazon.com/gp/customer-reviews/RGZ49J58DX0W5?ie=UTF8&ASIN=B07N27LPPG
RRBP7OITNW73Q,"August 11, 2019",socrchik2000,4,MB2236adw,,Verified Purchase,7,1,Scan solution?,"After reading the reviews that talked about the SMTP problems and scanning problems and setup, I just wanted to put my 2cents in.  I got the printer on a Friday and I must agree that the absence of instructions other than for taking the item out of the box and turning it on are sorely lacking.  I called their customer service and Jasimar helped me - (he was so patient - thank you!) and we got the thing set up so I could use it wirelessly which is awesome.  However, I really need the scan function so I spent more time than I should have on Sunday trying to get the scan to email to work.  Jasimar (and the instructions from the other reviewer on how to turn off the SMTP error light) disabled the ""SMTP server not set up"" error.  I should have put 2 and 2 together to realize that this box needs to be unchecked if you are going to scan to email because you will have set up the SMTP so you won't have the error message!  The bright side is that I got very familiar with setting up the shortcuts and the email....this printer should meet all my needs nicely now.",No,,https://www.amazon.com/gp/customer-reviews/RRBP7OITNW73Q?ie=UTF8&ASIN=B07N27LPPG
R38XVXQLFG62H6,"August 12, 2019",Elaine N.,1,MB2236adw,,Verified Purchase,7,0,Don't waste your money,"This product is HORRIBLE!! Although it makes wonderful copies and prints great if you are printing something computer generated, I can't figure out how to scan in a page or how to send a fax.  This copier is completely worthless.  I thought Lexmark was a good brand.  I have a Lexmark printer I have used for several years.  Very happy with it.  I had to set up the HP printer that I was replacing with this Lexmark just so I could scan in a page and fax.  If I could return this product I would!",No,,https://www.amazon.com/gp/customer-reviews/R38XVXQLFG62H6?ie=UTF8&ASIN=B07N27LPPG
RYUB0RC2X96PZ,"July 14, 2019",MazeteMazete,4,MB2236adw,,Verified Purchase,3,0,"Inconvenient and bad first impression, but inexpensive and funtional.","PROS: There is a lot of value in this printer. I got it for $133. Very nice that it scans, copies, faxes, and can print on both sides of paper. It comes with starter toner. It's not very noisy and it prints fast. Also it shipped fast even though I only get the standard free shipping.CONS: The only way to scan is to run a program on your computer. You have to start the program, select the device, meddle with settings, click scan, maybe have to select the right hostname, THEN push the shortcuts button on the printer, select Scan to computer, select the profile, wait for the scanner to scan the item, then tell it you don't want to scan another page, then it save to your computer. There is a ""Start Immediately"" option in the program which gets rid of all the button-pushing on the printer except for telling it not to scan another page. There's no option in the menu on the printer to scan to file, which makes no sense. I've used all-in-one printers before where you just put what you want to scan on the flatbed, push the scan button, and it saves a file on your computer. Also, the scanning flatbed doesn't scan near the very edge, so make sure you leave at least 1/4"" in order to scan the whole item. I suppose if you scan a piece of paper it wouldn't be an issue because of the margins, but I use it to scan cards and checks, so you have to leave space near the edge of the flatbed.It is needlessly complicated to get this printer working in Linux. The driver page says this model is supported (shorturl.at/vyX25), but the OS compatibility page says it's not supported (shorturl.at/oCFJ9). It took me hours to finally get it working. You have to download  a special driver for CUPS (shorturl.at/iqz06). There's no reason that the CUPS driver couldn't have been included with the printer driver. Also, the included driver disc doesn't include anything for Linux, only Windows.The duplex printing isn't aligned right because it doesn't print both sides at the same time. It prints page one, pulls the paper back inside, then prints page two. Doing this makes the paper a little bit crooked. It's not extreme, but it's definitely noticeable. Make sure you have plenty of margins on what you're duplex printing or it will get cut off.The screen will always flash a red light and display an SMTP error. The only way to stop the error and light is to either setup SMTP or disable it. There is no way to disable it in the menu on the printer. You have to access the printer settings in your web browser and disable it there.All in all, I'm satisfied with this printer. It was a great price and it's all-in-one. However, it was a huge hassle to setup and the way to scan is stupid. I recommend this printer if you're on a budget and need a lot of functionality, but can handle inconvenience.",No,,https://www.amazon.com/gp/customer-reviews/RYUB0RC2X96PZ?ie=UTF8&ASIN=B07N27LPPG
R2TJU4SF8JIXJK,"February 22, 2020",Kelly Pfister,4,MB2236adw,,Verified Purchase,1,0,Lexmark MB2236,"I like the printer, however I found out after the fact that there is no local scan to PC option and scanning must be done via the cloud.  Had I know this, I would have picked a different all-in-one.  That being said, I like how this one prints and the fact that it prints double sided.  It is also easy to make copies.  Update 2/27/20  I figured out that this will scan to your local PC if you use Windows Fax and Scan.  Also, there are some open source software scanners that will also allow you to scan on your local PC.  I am using NAPS2 and it works great with this.",No,,https://www.amazon.com/gp/customer-reviews/R2TJU4SF8JIXJK?ie=UTF8&ASIN=B07N27LPPG
R1Y6A2U1KQB99L,"October 17, 2019",DConn,3,MB2236adw,,Verified Purchase,1,0,Onerous Setup,"If you are looking to just plug and play, you are out of gas.  Why oh why didn't I believe the other reviewers???  Anyway, after 2 hours over 2 different days, with 2 different techs, I can FINALLY send docs from the scanner to my PC!  I haven't actually used it for it's intended purpose (I'm a NSA who needs to scan back large numbers of pages to my PC and upload to secure servers).  I have a job this evening...I hope it goes well.With that said, if you want to just print your scans, it may be easy peasy.",No,,https://www.amazon.com/gp/customer-reviews/R1Y6A2U1KQB99L?ie=UTF8&ASIN=B07N27LPPG
R33RH2BI744UBU,"December 10, 2019",CJ,1,MB2236adw,,Verified Purchase,0,0,Very difficult to install,"This product is not very intuitive to use like any other printers I've had before. Literally trying to print was the hardest part to do because there's literally no instructions for it. It gives you step by step picture guide on how to unwrap your printer but actually using it, you are on your own. I tried to look at their website but it's just the same video on how to remove a sticker, etc. I am not ignorant about computers and technology but again, the set-up for this printer is ridiculous. Buyer beware.",No,,https://www.amazon.com/gp/customer-reviews/R33RH2BI744UBU?ie=UTF8&ASIN=B07N27LPPG
RL4MB3G292TKE,"July 25, 2019",SKYKING,5,MB2236adw,,Verified Purchase,0,0,Excellent Laser Printer,"Lexmark MB2236adw Multifunction Laser Printer, Monochrome, Wireless Networking with Duplex Printing is an excellent printer. Easy to set up and works as advertised. I really like this printer.",No,,https://www.amazon.com/gp/customer-reviews/RL4MB3G292TKE?ie=UTF8&ASIN=B07N27LPPG
RSZI0LMXDJZ2R,"January 18, 2020",Vijetha krishna,5,MB2236adw,,Verified Purchase,0,0,Good,Good,No,,https://www.amazon.com/gp/customer-reviews/RSZI0LMXDJZ2R?ie=UTF8&ASIN=B07N27LPPG
RF6NASWD4JHC9,"October 29, 2019",Amazon Customer,5,MB2236adw,,Verified Purchase,0,0,Great services,So far this has worked great.,No,,https://www.amazon.com/gp/customer-reviews/RF6NASWD4JHC9?ie=UTF8&ASIN=B07N27LPPG
